project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at|has_amount_zmw|is_approved|sector_category|amount_band|has_ward|inferred_year
KAB-0087|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0088|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0089|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0090|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0091|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0092|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0093|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0094|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0095|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0096|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0097|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
