page|value|unit|context|source_doc
185|29|wards|n Management Tools; PPE's and All the 29 Wards 0 29 9 10 10 KMC, GRZ Facilities Chemicals Procurement of Vacuum All the 29 Wards 1 1 1 KMC, GRZ tanker Procure skip bins 6 10 2 2 2 2 2 KMC, GRZ Procure a Compactor 0 1 1 KMC, GRZ truck Enhancemen t o|IDP_MAIN
195|57|health post|rest Health Post, Hamududu Health Post, Kafulamase Health Post, Kalima Strengthen public Infrastructure Construction of 57 Health Post, Kamakuti CDF/PARTN 2 57 11 11 11 12 12 health development waterborne closets Health Post, Makupu ERS A Health Post, Ma|IDP_MAIN
198|29|wards|istribution of Disease ITNs Conduct 29 29 29 29 29 29 Strengthen public health prevention and Indoor Residual All wards 29 wards ward ward ward ward ward ward control Spraying s s s s s s Conduct Community Engagement and MOH/CO 29 29 29 29 29 29 Se|IDP_MAIN
198|29|wards|control Spraying s s s s s s Conduct Community Engagement and MOH/CO 29 29 29 29 29 29 Sensitization OPERATI All wards 29 wards ward ward ward ward ward ward Meetings in NG s s s s s s Malaria PARTNER prevention and S Control Increase Conduct 29 2|IDP_MAIN
198|29|wards|s Malaria PARTNER prevention and S Control Increase Conduct 29 29 29 29 29 29 knowledge in Case mentorship in All wards 29 wards ward ward ward ward ward ward malaria case management malaria case s s s s s s management management IRS micro 75% hous|IDP_MAIN
199|29|wards|ation mosquitoes and construction All wards 40 40 40 40 40 40 40 of IRS base 29 29 29 29 29 29 Enumeration of All wards 29 wards ward ward ward ward ward ward households s s s s s s Recruiting of All wards 70 100 70 100 100 100 100 spray operators|IDP_MAIN
199|29|wards|Tuberculosis notification from 662/1000 to 225/1000 by 2027 Conduct TB 29 29 29 29 29 29 awareness Across the district 29 wards ward ward ward ward ward ward campaigns across s s s s s s Disease the district Strengthen public prevention and Conduc|IDP_MAIN
200|100|schools|Conduct outreach service in and out 100 schools 45 100 100 100 100 100 100 school on SRHR Health Strengthen public education Conduct mentorship MoH, CP health to facil|IDP_MAIN
200|100|school|Conduct outreach service in and out 100 schools 45 100 100 100 100 100 100 school on SRHR Health Strengthen public education Conduct mentorship MoH, CP health to facilities on promotion delivery of 42|IDP_MAIN
201|2026|wards|Forestry Establishment of 500 All 0 500 100 100 100 100 100 Forestry Department establishment of management woodlots by 2026 Wards 500 woodlots by 2026 To reduce deforestation through Forestry Establishment of 100 All 0 100 20 20 20 20 20 Forestry De|IDP_MAIN
202|40|wards|er stations Department stations climate To conduct 172 management All Meteorological sensitization of 0 172 12 40 40 40 40 Wards Department metrological 184|IDP_MAIN
206|2500|plots|tion and maintenance Clayton Park 0 1 1 of recreation facilities Objectives To provide adequate and affordable land for 2500 plots by 2027 To alienate Kangomba, Enhance land for Creation of 2500 Mpima,Waya, 2500 2500 500 500 500 500 500 KMC access to|IDP_MAIN
